Participant,Timestamp,X,Y
P1,67487214.0412,1392.4233323272,649.272371067917
P1,67487244.0726,1387.8271087739,652.319629271295
P1,67487274.4271,1391.45263609899,652.592222829183
P1,67487304.0373,1391.32802077569,652.781108091707
P1,67487334.3763,1478.4338437831,649.319008240903
P1,67487364.3584,1480.65313589417,650.031663170529
P1,67487394.7473,1486.17289850617,649.97190270248
P1,67487424.8493,1486.99283948854,649.504593331659
P1,67487455.2624,1491.19413647812,645.181775594641
P1,67487485.2089,1489.93410762922,646.712719043707
P1,67487515.4818,1483.33207183178,648.773411764534
P1,67487545.5793,1496.56718097402,650.018624419463
P1,67487575.8624,1542.78255632882,641.435566867186
P1,67487605.8709,1544.79474454291,645.063907728379
P1,67487636.2354,1550.26972787087,645.756098187174
P1,67487666.198,1552.36831262947,636.101646982863
P1,67487696.4792,1555.60056307253,639.194090606184
P1,67487726.445,1560.25521102011,635.465144585397
P1,67487756.7661,1558.32728812057,636.112023574431
P1,67487786.5814,1553.73721293376,636.725470549982
P1,67487817.6863,895.633457813974,719.7910206639
P1,67487848.3357,875.738429126023,720.613118251732
P1,67487878.6014,863.708616004948,705.680664697477
P1,67487908.5556,863.287208313725,700.968242221949
P1,67487938.9907,861.263030400945,703.791079672133
P1,67487969.213,856.702411532337,708.510348578247
P1,67487999.4284,854.591159364482,705.227018883522
P1,67488029.7558,849.717784988234,699.919763828711
P1,67488059.8375,840.648387161412,705.868724048221
P1,67488088.9344,817.336917061017,720.722396753306
P1,67488119.9519,504.995758481182,717.04275727059
P1,67488150.2592,381.753708203118,721.075408107819
P1,67488180.5846,375.923350265042,720.165749774275
P1,67488210.5195,380.832003321484,715.164720443936
P1,67488240.7338,378.064148836347,714.410148921006
P1,67488271.1834,379.323065504501,713.234398694115
P1,67488301.3339,357.000878656953,715.910773497872
P1,67488331.9643,342.827458543975,710.386200740401
P1,67488362.274,338.639432929506,709.181471580648
P1,67488392.4976,331.233175152713,704.602078172538
P1,67488422.6433,331.254686738903,704.661048863982
P1,67488452.3431,320.647933563995,707.943824144398
P1,67488482.791,330.453672535179,701.162374737304
P1,67488512.831,335.57934343463,703.270715265743
P1,67488543.0705,347.907794460579,713.5484814942
P1,67488573.4984,345.399187010371,713.415776610297
P1,67488603.3879,353.268846978523,713.386451753834
P1,67488633.8042,353.891544254747,716.308465434258
P1,67488664.2382,355.501146325663,721.651589667687
P1,67488694.0709,348.763029767694,712.438310448265
P1,67488724.5506,359.081293636838,704.08101982024
P1,67488754.6648,374.773863127531,697.982270697276
P1,67488784.6691,402.710001219528,711.330511943888
P1,67488815.1057,401.4419031387,701.394553786016
P1,67488845.2759,398.033331791362,716.750098534748
P1,67488875.5956,396.192131391979,711.832703338857
P1,67488905.534,394.807255747574,713.993476294165
P1,67488935.7616,399.058595976361,714.465201763053
P1,67488965.599,397.046873177487,716.129839868349
P1,67488996.2007,402.935968736637,715.335107040773
P1,67489026.3094,444.783338462062,711.379939236904
P1,67489056.6724,494.873409061494,712.903155692892
P1,67489086.786,528.829024421915,710.166919221991
P1,67489117.0762,526.917413897054,710.852425469306
P1,67489147.2148,527.624598855835,710.017841761536
P1,67489177.4933,528.771554322289,711.420524457121
P1,67489207.6887,539.70030717809,713.528818030486
P1,67489237.9336,539.083746995165,713.079918526727
P1,67489267.9973,533.442039735062,711.724499200017
P1,67489298.3245,537.823585572379,711.879971322133
P1,67489328.0472,553.911778451015,720.621354981364
P1,67489358.3764,583.67901303849,728.587731033161
P1,67489388.4056,585.211008740192,731.06669184761
P1,67489418.4357,577.456907014963,728.059173734687
P1,67489448.827,576.481260970986,729.318689389293
P1,67489479.2175,600.942752023562,729.476828330936
P1,67489509.4969,685.371212528076,726.601817124773
P1,67489539.6193,693.318475635361,718.651474294754
P1,67489569.9046,697.344370672824,716.586789544163
P1,67489600.3523,695.846534051726,720.55696364985
P1,67489630.5966,699.389161920763,722.390277508015
P1,67489660.6997,697.767542364041,720.275444405545
P1,67489691.0493,701.422185666078,719.35596924232
P1,67489721.3291,703.318586791296,721.806630412435
P1,67489751.3498,701.797139524844,719.262119619562
P1,67489781.5173,704.107289068301,720.259738512992
P1,67489811.7478,706.471545606419,719.717075024101
P1,67489842.0544,703.324569102686,723.065356715255
P1,67489872.0308,701.863783693104,726.532182024976
P1,67489902.4771,704.19366999949,726.823326865049
P1,67489932.5344,706.156068911596,731.374648064216
P1,67489962.9031,730.851191019418,728.298391668907
P1,67489993.3472,788.816932890949,733.202243400595
P1,67490023.3676,804.778368390356,730.997567669383
P1,67490053.6526,803.501409500532,723.60454901879
P1,67490083.6949,791.239007681465,717.3105350541
P1,67490114.3837,792.297764994639,711.913581868108
P1,67490144.2842,791.450757750522,712.499817330725
P1,67490174.1932,788.848073756805,715.243903689387
P1,67490204.613,784.626327425894,716.823542597409
P1,67490234.5877,793.750200056803,716.248725426077
P1,67490265.1176,849.857258753127,688.108708309558
P1,67490295.7295,847.363305758196,695.831772377151
P1,67490325.134,839.052576082501,707.357631652131
P1,67490355.531,827.586987040013,714.364148208577
P1,67490385.816,819.964504214861,718.593590489901
P1,67490416.2248,822.071347188947,718.499618961246
P1,67490445.996,833.539476754237,718.808530513716
P1,67490476.9996,916.059868667301,706.403548435226
P1,67490506.9736,921.604362829002,704.016822703742
P1,67490537.1365,926.992744652152,699.640393215064
P1,67490567.5637,926.0747050073,704.020705200186
P1,67490597.4988,927.713926965331,712.055448672145
P1,67490627.7174,918.136333867379,716.361368840498
P1,67490657.6885,922.52293570938,713.308345481988
P1,67490688.0424,922.09680697369,707.630607634243
P1,67490718.3926,926.737884196895,691.659527146031
P1,67490748.6241,923.720553311128,698.136863658936
P1,67490778.3766,937.029684020034,700.316250226749
